ABL1	KIT
ABL1	LCK
ABL1	LRP8
ABL1	LYN
ABL1	MAPT
ABL1	MDM2
ABL1	MICAL1
ABL1	MUC1
ABL1	MYC
ABL1	NCK1
ABL1	NCKIPSD
ABL1	NEDD9
ABL1	NFASC
ABL1	NKX2-1
ABL1	NOTCH3
ABL1	NTRK1
ABL1	PAX3
ABL1	PCDHA7
ABL1	PDGFRA
ABL1	PIK3R1
ABL1	PLCG1
ABL1	PLSCR1
ABL1	POLR2A
ABL1	PRICKLE3
ABL1	PRKD1
ABL1	PRKDC
ABL1	PSTPIP1
ABL1	PTPN12
ABL1	PTPN18
ABL1	PTPN4
ABL1	PTPN6
ABL1	PTPRF
ABL1	PTPRS
ABL1	PXN
ABL1	RAD51
ABL1	RAD52
ABL1	RASA1
ABL1	RB1
ABL1	RELN
ABL1	RFX1
ABL1	RIN1
ABL1	ROBO1
ABL1	ROS1
ABL1	RYBP
ABL1	SCARF2
ABL1	SFN
ABL1	SH3BP2
ABL1	SHANK3
ABL1	SHC1
ABL1	SHC2
ABL1	SHC3
ABL1	SHC4
ABL1	SHD
ABL1	SHE
ABL1	SPTA1
ABL1	SRC
ABL1	STAT5A
ABL1	STAT5B
ABL1	SUV39H2
ABL1	TBX2
ABL1	TERF1
ABL1	TERT
ABL1	TP53
ABL1	TP73
ABL1	TULP4
ABL1	TWIST1
ABL1	VAV1
ABL1	WASL
ABL1	WBP7
ABL1	YES1
ABL1	YWHAZ
ABL1	ZAP70
ABL2	BCAR1
ABL2	CAP1
ABL2	CAP2
ABL2	CRK
ABL2	CRKL
ABL2	DKFZP686N21130
ABL2	EPHB2
ABL2	FYN
ABL2	GRB2
ABL2	HCK
ABL2	INSR
ABL2	JAK1
ABL2	NCK1
ABL2	PIK3R1
ABL2	PLCG1
ABL2	PTPN1
ABL2	PTPRF
ABL2	PTPRS
ABL2	PXN
ABL2	RIN1
ABL2	ROBO1
ABL2	SRC
ABLIM1	RAC1
ABLIM1	RAC2
ABLIM1	RAC3
ABLIM2	RAC1
ABLIM2	RAC2
ABLIM2	RAC3
ABLIM3	RAC1
ABLIM3	RAC2
ABLIM3	RAC3
ABP1	DAO
ABR	CDC42
ABR	RAC1
ABR	RAC2
ABR	RAC3
ABR	RHOA
ABR	RHOB
ABR	RHOBTB1
ABR	RHOBTB2
ABR	RHOC
ABR	RHOD
ABR	RHOF
ABR	RHOG
ABR	RHOH
ABR	RHOJ
ABR	RHOQ
ABR	RHOT1
ABR	RHOT2
ABR	RHOU
ABR	RHOV
ABT1	TBP
ACAA1	PPARA
ACAA1	PPARG
ACAA1	RXRA
ACAA1	RXRB
ACAA1	RXRG
ACAA2	ACAT1
ACAA2	ECHS1
ACAA2	SCP2
ACACA	CEBPA
ACACA	PRKAA1
ACACA	PRKAA2
ACACA	PRKAB1
ACACA	PRKAB2
ACACA	PRKAG1
ACACA	PRKAG2
ACACA	PRKAG3
ACACA	SP3
ACACA	SREBF1
ACACA	USF1
ACACA	USF2
ACACB	CPT1A
ACACB	CPT1B
ACACB	CPT1C
ACACB	FASN
ACACB	MCCC1
ACACB	PC
ACACB	PCCA
ACACB	PRKAA1
ACACB	PRKAA2
ACACB	PRKAB1
ACACB	PRKAB2
ACACB	PRKAG1
ACACB	PRKAG2
ACACB	PRKAG3
ACACB	SP1
ACACB	SREBF1
ACAD8	MED1
ACAD8	MED12
ACAD8	MED13
ACAD8	MED14
ACAD8	MED15
ACAD8	MED23
ACAD8	MED8
ACADL	HADHA
ACADL	HADHB
ACADL	PPARD
ACADL	RXRA
ACADL	RXRB
ACADL	RXRG
ACADM	ACADS
ACADM	IVD
ACADM	PPARA
ACADM	RXRA
ACADM	RXRB
ACADM	RXRG
ACADS	ACOX1
ACADS	GCDH
ACADS	IVD
ACADSB	GCDH
ACAN	ADAMTS1
ACAN	ADAMTS4
ACAN	ADAMTS5
ACAN	CTSB
ACAN	FBLN2
ACAN	HAPLN1
ACAN	MMP1
ACAN	MMP14
ACAN	MMP19
ACAN	MMP2
ACAN	MMP20
ACAN	MMP3
ACAN	MMP8
ACAN	SP1
ACAN	TFAP2A
ACAN	TNFAIP6
ACAN	TNR
ACAN	VCAN
ACAP1	ARF6
ACAP1	ARHGAP4
ACAP1	CD37
ACAP1	CD3D
ACAP1	CD52
ACAP1	CLTC
ACAP1	CORO1A
ACAP1	GRB2
ACAP1	GULP1
ACAP1	HCLS1
ACAP1	HMHA1
ACAP1	LCK
ACAP1	NCK1
ACAP1	PTPRCAP
ACAP1	RAC2
ACAP1	SLC2A4
ACAP1	SRC
ACAP2	ARF6
ACAP2	DEK
ACAP2	KIAA1109
ACAP2	NOXO1
ACAP2	SF3B1
ACAP2	SP3
ACAT1	SCP2
ACCN1	ACCN2
ACCN1	ACCN3
ACCN1	PICK1
ACCN2	PICK1
ACCN3	CSNK2A1
ACCN3	DLG4
ACD	HIST1H4A
ACD	HIST3H3
ACD	POT1
ACD	TERF1
ACD	TERF2
ACD	TERF2IP
ACD	TINF2
ACE	AGTR2
ACE	BDKRB2
ACE2	AGT
ACE2	GHRL
ACHE	APP
ACHE	ATF1
ACHE	COLQ
ACHE	CREB1
ACHE	EGR1
ACHE	LAMB1
ACHE	TFAP2A
ACIN1	CASP3
ACLY	NME2
ACO1	ACO2
ACO1	IDH2
ACO1	IREB2
ACO2	ATP5B
ACO2	COX4I1
ACOX1	PEX5
ACOX1	PPARA
ACOX1	PPARD
ACOX1	PPARG
ACOX1	RXRA
ACOX1	RXRB
ACOX1	RXRG
ACOX2	PEX5
ACOX2	PPARA
ACOX2	PPARD
ACOX2	RXRA
ACOX2	RXRB
ACOX2	RXRG
ACOX3	PEX5
ACOX3	PPARA
ACOX3	PPARD
ACOX3	RXRA
ACOX3	RXRB
ACOX3	RXRG
ACP1	CTNNB1
ACP1	EFNA1
ACP1	EPHA2
ACP1	PDGFRB
ACP5	NFKB1
ACP5	SPI1
ACR	SERPINA5
ACRV1	CYLC2
ACSL1	CPT1A
ACSL1	CPT1B
ACSL1	CPT1C
ACSL1	PPARA
ACSL1	PPARG
ACSL1	RXRA
ACSL1	RXRB
ACSL1	RXRG
ACSL3	ACSL4
ACSL3	CLCN3
ACSL3	CPT1A
ACSL3	CPT1B
ACSL3	CPT1C
ACSL3	PPARA
ACSL3	PPARG
ACSL3	RXRA
ACSL3	RXRB
ACSL3	RXRG
ACSL4	ACSL5
ACSL4	ACSS2
ACSL4	CPT1A
ACSL4	CPT1B
ACSL4	CPT1C
ACSL4	PPARA
ACSL4	PPARG
ACSL4	RXRA
ACSL4	RXRB
ACSL4	RXRG
ACSL5	ACSS2
ACSL5	CPT1A
ACSL5	CPT1B
ACSL5	CPT1C
ACSL5	PPARA
ACSL5	PPARG
ACSL5	RXRA
ACSL5	RXRB
ACSL5	RXRG
ACSL6	ACSS2
ACSL6	CPT1A
ACSL6	CPT1B
ACSL6	CPT1C
ACSL6	PHYH
ACSL6	PPARA
ACSL6	PPARG
ACSL6	RXRA
ACSL6	RXRB
ACSL6	RXRG
ACSS1	SIRT3
ACT	SEC24A
ACT	SEC24B
ACT	SEC24C
ACT	SEC24D
ACTA1	ACTC1
ACTA1	ACTG2
ACTA1	ACTN1
ACTA1	ACTN2
ACTA1	ACTN3
ACTA1	ACTN4
ACTA1	ACTR10
ACTA1	ACTR1B
ACTA1	ADAM17
ACTA1	AGRN
ACTA1	AP2A1
ACTA1	AP2A2
ACTA1	ARHGEF6
ACTA1	ARHGEF7
ACTA1	BCAR1
ACTA1	CAPN1
ACTA1	CASP3
ACTA1	CAST
ACTA1	CDH1
ACTA1	CDH3
ACTA1	CGNL1
ACTA1	CHRM1
ACTA1	CHRNA1
ACTA1	CKM
ACTA1	CLTA
ACTA1	CLTB
ACTA1	CRKL
ACTA1	CTNNA1
ACTA1	CTNNA2
ACTA1	CTNNA3
ACTA1	CTNNB1
ACTA1	CTTN
ACTA1	DAG1
ACTA1	DIAPH1
ACTA1	DKFZP686A08248
ACTA1	DKFZP779C1668
ACTA1	DKFZP781B1340
ACTA1	DMD
ACTA1	DNASE1
ACTA1	ERBB3
ACTA1	EZR
ACTA1	FHOD1
ACTA1	FLII
ACTA1	FLT1
ACTA1	FLT4
ACTA1	FSCN1
ACTA1	GC
ACTA1	GIT2
ACTA1	GSN
ACTA1	HIP1
ACTA1	HSPB1
ACTA1	HTT
ACTA1	IFT57
ACTA1	ITGA1
ACTA1	ITGB1
ACTA1	JUP
ACTA1	KDR
ACTA1	LAMA1
ACTA1	LAMA2
ACTA1	LAMA3
ACTA1	LAMA4
ACTA1	LAMA5
ACTA1	LAMB1
ACTA1	LAMB2
ACTA1	LAMB3
ACTA1	LAMC1
ACTA1	LAMC2
ACTA1	LAMC3
ACTA1	MACF1
ACTA1	MAL
ACTA1	MAPK3
ACTA1	MB
ACTA1	MLLT4
ACTA1	MMP1
ACTA1	MMP12
ACTA1	MMP13
ACTA1	MMP14
ACTA1	MMP15
ACTA1	MMP16
ACTA1	MMP19
ACTA1	MMP2
ACTA1	MMP20
ACTA1	MMP21
ACTA1	MMP23A
ACTA1	MMP24
ACTA1	MMP25
ACTA1	MMP27
ACTA1	MMP28
ACTA1	MMP7
ACTA1	MMP8
ACTA1	MMP9
ACTA1	MYH1
ACTA1	MYH10
ACTA1	MYH11
ACTA1	MYH13
ACTA1	MYH14
ACTA1	MYH16
ACTA1	MYH2
